# Psi_N                  T                      rho                    pres                   zj                     R                      Er                     B_theta                currdens               B_tor                  V_ExB                  dprof                  zkprof                 eta_T                  r_minor                
# time step #000000
  2.210158285030654E-01  5.662459768726170E-02  8.249713404542310E-01  4.671367029552312E-02  3.208557142741466E+00  1.672483250633809E+00  0.000000000000000E+00  2.451214888540018E-01  1.912954711482660E+00  2.545839884870265E+00  0.000000000000000E+00  1.164919845763122E-06  3.453685094807429E-07  7.039268814346956E-08  2.175053628903680E-01
  2.243503881246207E-01  5.602669306915972E-02  8.232283114624208E-01  4.612275996895925E-02  3.184678852176113E+00  1.671958551384406E+00  0.000000000000000E+00  2.464001626386435E-01  1.899318627737969E+00  2.546896350111060E+00  0.000000000000000E+00  1.176916751281948E-06  3.539923713919348E-07  7.152251217083752E-08  2.192529503552445E-01
  2.276826481708098E-01  5.543386582461655E-02  8.215092172026577E-01  4.553943175641034E-02  3.160868373552466E+00  1.671432429368906E+00  0.000000000000000E+00  2.476538004468063E-01  1.885718797906427E+00  2.547956160956406E+00  0.000000000000000E+00  1.189090607984025E-06  3.626184818981695E-07  7.267290065402483E-08  2.209911705881279E-01
  2.310143460768245E-01  5.484586508843382E-02  8.198129401931143E-01  4.496334995223340E-02  3.137117474813909E+00  1.670906675131029E+00  0.000000000000000E+00  2.488835382154107E-01  1.872149448771002E+00  2.549016749458607E+00  0.000000000000000E+00  1.201835136755262E-06  3.712325869996043E-07  7.384471316737513E-08  2.227209072077596E-01
  2.343451831646833E-01  5.426280468026085E-02  8.181394400508324E-01  4.439454067382709E-02  3.113430033431304E+00  1.670379126873953E+00  0.000000000000000E+00  2.500898557236560E-01  1.858614216526606E+00  2.550081418745436E+00  0.000000000000000E+00  1.214704539985321E-06  3.798355318595010E-07  7.503811029381326E-08  2.244416410428523E-01
  2.376800157591857E-01  5.368390546480873E-02  8.164861427087707E-01  4.383216493560421E-02  3.089772741234062E+00  1.669851872838491E+00  0.000000000000000E+00  2.512744946468787E-01  1.845093196778272E+00  2.551147002065357E+00  0.000000000000000E+00  1.228177263667110E-06  3.883810403829134E-07  7.625513430661076E-08  2.261571604500262E-01
  2.410085916955125E-01  5.311100617525141E-02  8.148579548836629E-01  4.327792591073783E-02  3.066226844138557E+00  1.669322354797365E+00  0.000000000000000E+00  2.524350280135009E-01  1.831633734671881E+00  2.552217402577613E+00  0.000000000000000E+00  1.241811299913540E-06  3.968679872699234E-07  7.749228216210299E-08  2.278618708220816E-01
  2.443481175793789E-01  5.254122010392708E-02  8.132463639711968E-01  4.272895624560022E-02  3.042667852215235E+00  1.668793161941752E+00  0.000000000000000E+00  2.535771636665837E-01  1.818163439737788E+00  2.553289173846566E+00  0.000000000000000E+00  1.255920796772876E-06  4.052847056725612E-07  7.875624737086761E-08  2.295646656978128E-01
  2.476779451946729E-01  5.197813728618141E-02  8.116612154890388E-01  4.218863812305942E-02  3.019246583000979E+00  1.668262020071390E+00  0.000000000000000E+00  2.546946524583060E-01  1.804770795644711E+00  2.554364604147477E+00  0.000000000000000E+00  1.270299738308508E-06  4.135855331925310E-07  8.003946497830054E-08  2.312553113996564E-01
  2.510120094040815E-01  5.141945345585851E-02  8.100957016021501E-01  4.165467825879213E-02  2.995869393880572E+00  1.667729562449247E+00  0.000000000000000E+00  2.557927552073350E-01  1.791400637813422E+00  2.555443876106779E+00  0.000000000000000E+00  1.285002961471999E-06  4.218067798555643E-07  8.134747192396868E-08  2.329413333695479E-01
  2.543509039281016E-01  5.086515495275925E-02  8.085495208189268E-01  4.112699669729456E-02  2.972532608393915E+00  1.667196641682800E+00  0.000000000000000E+00  2.568722296755103E-01  1.778051038339064E+00  2.556525588848018E+00  0.000000000000000E+00  1.300197667108548E-06  4.298644031094121E-07  8.268080323226063E-08  2.346232336167334E-01
  2.576897932132058E-01  5.031612351019473E-02  8.070248246851938E-01  4.060636079095114E-02  2.949276942225213E+00  1.666662749246590E+00  0.000000000000000E+00  2.579298062180654E-01  1.764745621992763E+00  2.557610151260961E+00  0.000000000000000E+00  1.315589946712879E-06  4.378482438716441E-07  8.403776301261897E-08  2.362982948369933E-01
  2.610227216713089E-01  4.977336853673048E-02  8.055240464128327E-01  4.009364526106914E-02  2.926148578416893E+00  1.666127468215201E+00  0.000000000000000E+00  2.589643007312252E-01  1.751511311287312E+00  2.558697809068892E+00  0.000000000000000E+00  1.331564329108448E-06  4.455412522701200E-07  8.541609141207084E-08  2.379637913205116E-01
  2.643556717377250E-01  4.923592939967610E-02  8.040442045086087E-01  3.958786372042178E-02  2.903106975819105E+00  1.665593222982125E+00  0.000000000000000E+00  2.599782208177058E-01  1.738323078658151E+00  2.559785363265966E+00  0.000000000000000E+00  1.347676657695838E-06  4.531640164530929E-07  8.681845133724454E-08  2.396237390257591E-01
  2.676929253962932E-01  4.870315477613036E-02  8.025832190084071E-01  3.908833476924899E-02  2.880118600488436E+00  1.665059600997517E+00  0.000000000000000E+00  2.609731918352006E-01  1.725162590193823E+00  2.560873661560829E+00  0.000000000000000E+00  1.364440795240713E-06  4.604453477271457E-07  8.824692973577299E-08  2.412796823312560E-01
  2.710213661045756E-01  4.817715764105169E-02  8.011465829411361E-01  3.859696525464772E-02  2.857278001000802E+00  1.664522922632171E+00  0.000000000000000E+00  2.619460397259134E-01  1.712085766866029E+00  2.561967614423096E+00  0.000000000000000E+00  1.381385362941658E-06  4.675808012155324E-07  8.969608438519517E-08  2.429251807595160E-01
